identificationType,fileIdentifier,fileSize,ArtifactId,similarity(s),RawLicenseName(s),licenseName(s),licenseURL(s),auther(s),relatedURL(s),name,description
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.base\ADDITIONAL_LICENSE_INFO,2114,?--java.base--11.0.2#,"0.80290,
0.79666",,Approved/_See ADDITIONAL_LICENSE_INFO,,,,java.base,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.base\LICENSE,19274,?--java.base--11.0.2#,"0.83360,
0.85126,
0.85175",,calculate-Linux/GPL-2-with-classpath-exception,,,,java.base,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.compiler\ADDITIONAL_LICENSE_INFO,49,?--java.compiler--11.0.2#,"0.67229,
0.67040,
0.66990",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.compiler,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.datatransfer\ADDITIONAL_LICENSE_INFO,49,?--java.datatransfer--11.0.2#,"0.69971,
0.69833,
0.69777",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.datatransfer,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.desktop\ADDITIONAL_LICENSE_INFO,49,?--java.desktop--11.0.2#,"0.70440,
0.70133,
0.69996",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.desktop,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.instrument\ADDITIONAL_LICENSE_INFO,49,?--java.instrument--11.0.2#,"0.67412,
0.67118,
0.67059",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.instrument,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.logging\ADDITIONAL_LICENSE_INFO,49,?--java.logging--11.0.2#,"0.69859,
0.69514,
0.69452",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.logging,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.management\ADDITIONAL_LICENSE_INFO,49,?--java.management--11.0.2#,"0.69837,
0.69344,
0.69315",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.management,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.management.rmi\ADDITIONAL_LICENSE_INFO,49,?--java.management.rmi--11.0.2#,"0.70716,
0.70674,
0.70561",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.management.rmi,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.naming\ADDITIONAL_LICENSE_INFO,49,?--java.naming--11.0.2#,"0.71730,
0.71524,
0.71463",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.naming,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.net.http\ADDITIONAL_LICENSE_INFO,49,?--java.net.http--11.0.2#,"0.71163,
0.71040,
0.71024",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.net.http,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.prefs\ADDITIONAL_LICENSE_INFO,49,?--java.prefs--11.0.2#,"0.73809,
0.73496,
0.73461",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.prefs,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.rmi\ADDITIONAL_LICENSE_INFO,49,?--java.rmi--11.0.2#,"0.69320,
0.69295,
0.69115",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.rmi,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.scripting\ADDITIONAL_LICENSE_INFO,49,?--java.scripting--11.0.2#,"0.71385,
0.71280,
0.71171",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.scripting,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.se\ADDITIONAL_LICENSE_INFO,49,?--java.se--11.0.2#,"0.75411,
0.75146,
0.74987",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.se,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.security.jgss\ADDITIONAL_LICENSE_INFO,49,?--java.security.jgss--11.0.2#,"0.67503,
0.67491,
0.67185",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.security.jgss,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.security.sasl\ADDITIONAL_LICENSE_INFO,49,?--java.security.sasl--11.0.2#,"0.71476,
0.71423,
0.71422",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.security.sasl,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.smartcardio\ADDITIONAL_LICENSE_INFO,49,?--java.smartcardio--11.0.2#,"0.70683,
0.70591,
0.70583",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.smartcardio,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.sql\ADDITIONAL_LICENSE_INFO,49,?--java.sql--11.0.2#,"0.69268,
0.69042,
0.68980",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.sql,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.sql.rowset\ADDITIONAL_LICENSE_INFO,49,?--java.sql.rowset--11.0.2#,"0.72253,
0.72158,
0.72125",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.sql.rowset,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.transaction.xa\ADDITIONAL_LICENSE_INFO,49,?--java.transaction.xa--11.0.2#,"0.68477,
0.68312,
0.68096",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.transaction.xa,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.xml\ADDITIONAL_LICENSE_INFO,49,?--java.xml--11.0.2#,"0.67792,
0.67437,
0.67277",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.xml,
pathSuffix,Adapt-openJdk-11.0.2#\legal\java.xml.crypto\ADDITIONAL_LICENSE_INFO,49,?--java.xml.crypto--11.0.2#,"0.65577,
0.65434,
0.65345",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,java.xml.crypto,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.accessibility\ADDITIONAL_LICENSE_INFO,49,?--jdk.accessibility--11.0.2#,"0.76106,
0.75937,
0.75897",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.accessibility,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.attach\ADDITIONAL_LICENSE_INFO,49,?--jdk.attach--11.0.2#,"0.74282,
0.73630,
0.73577",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.attach,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.charsets\ADDITIONAL_LICENSE_INFO,49,?--jdk.charsets--11.0.2#,"0.66397,
0.66129,
0.66079",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.charsets,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.compiler\ADDITIONAL_LICENSE_INFO,49,?--jdk.compiler--11.0.2#,"0.73956,
0.73886,
0.73597",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.compiler,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.crypto.cryptoki\ADDITIONAL_LICENSE_INFO,49,?--jdk.crypto.cryptoki--11.0.2#,"0.74635,
0.74425,
0.74410",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.crypto.cryptoki,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.crypto.ec\ADDITIONAL_LICENSE_INFO,49,?--jdk.crypto.ec--11.0.2#,"0.73602,
0.73583,
0.73574",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.crypto.ec,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.crypto.mscapi\ADDITIONAL_LICENSE_INFO,49,?--jdk.crypto.mscapi--11.0.2#,"0.70412,
0.70377,
0.70315",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.crypto.mscapi,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.dynalink\ADDITIONAL_LICENSE_INFO,49,?--jdk.dynalink--11.0.2#,"0.70473,
0.70312,
0.70152",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.dynalink,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.editpad\ADDITIONAL_LICENSE_INFO,49,?--jdk.editpad--11.0.2#,"0.65324,
0.65318,
0.65193",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.editpad,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.hotspot.agent\ADDITIONAL_LICENSE_INFO,49,?--jdk.hotspot.agent--11.0.2#,"0.73423,
0.73259,
0.73143",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.hotspot.agent,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.httpserver\ADDITIONAL_LICENSE_INFO,49,?--jdk.httpserver--11.0.2#,"0.72545,
0.72284,
0.72245",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.httpserver,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.internal.ed\ADDITIONAL_LICENSE_INFO,49,?--jdk.internal.ed--11.0.2#,"0.70057,
0.69786,
0.69753",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.internal.ed,
